block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.491112,78284,13.678333,0.002675,5.621666,0.001099,NA,0.978333,0.000191,NA,0.065708,8.261666,0.001616,0.926111,2.097222,0.000000,0.000000,0.000000,7.468889,10.143333,2.606667,NA,6.110556,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.493889,78289,9.848333,0.001926,5.475000,0.001071,NA,0.689444,0.000135,NA,0.080865,7.240556,0.001416,0.709444,1.610556,0.000000,0.000000,0.000000,4.288333,10.990556,1.951111,NA,6.284444,
16,cube0,9505.073242,17109132,2.380000,0.000465,1.965556,0.000384,9368.190430,1.832230,5.014444,0.000981,NA,9.718889,0.001901,NA,0.100152,121.134445,0.023691,0.259444,0.911667,1.976111,0.000000,0.000000,0.000000,3.232778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.671112,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.493889,78289,13.667222,0.002673,7.878334,0.001541,NA,2.138889,0.000418,NA,0.062859,8.608889,0.001684,0.930556,2.102222,0.000000,0.000000,0.000000,7.066111,11.767222,2.275556,NA,5.427778,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.485001,78273,9.848333,0.001926,6.470556,0.001266,NA,0.641111,0.000125,NA,0.076002,8.152223,0.001594,0.712222,1.616111,0.000000,0.000000,0.000000,5.042778,12.291111,1.814444,NA,5.148334,
17,cube0,9428.446289,16971203,2.381111,0.000466,1.957778,0.000383,9291.027344,1.817138,4.960556,0.000970,NA,9.171111,0.001794,NA,0.099032,120.624443,0.023592,0.264444,0.935556,1.914444,0.000000,0.000000,0.000000,3.701667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.837778,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.072777,90131,17.717222,0.003465,9.326111,0.001824,NA,1.487222,0.000291,NA,0.062046,9.981667,0.001952,1.024444,2.295556,0.000000,0.000000,0.000000,10.020555,13.955000,2.127222,NA,4.583889,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.279446,86903,12.557222,0.002456,7.272778,0.001422,NA,1.461667,0.000286,NA,0.075194,8.973333,0.001755,0.781111,1.768889,0.000000,0.000000,0.000000,5.119444,15.147778,1.547778,NA,4.744444,
18,cube0,9467.355469,17041241,2.381111,0.000466,1.932778,0.000378,9325.250977,1.823832,4.940000,0.000966,NA,9.541667,0.001866,NA,0.101107,121.182220,0.023701,0.262778,0.943889,1.605556,0.000000,0.000000,0.000000,3.748889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.122223,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.487778,78278,13.678333,0.002675,3.650000,0.000714,NA,1.690556,0.000331,NA,0.067022,8.423889,0.001648,0.936111,2.130556,0.000000,0.000000,0.000000,7.600000,13.091666,1.764444,NA,3.735556,
