block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id2_time(us),aic_scalar_wait_id6_time(us),aic_scalar_wait_id7_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.437222,83587,NA,NA,NA,NA,NA,0.934444,0.020123,50.263512,0.067669,NA,NA,NA,NA,NA,NA,NA,NA,11.722222,2.079444,NA,NA,NA,NA,5.135556,8.812778,
7,cube0,40.909443,73637,NA,NA,NA,NA,NA,NA,4.263889,0.104227,7.828207,NA,NA,NA,0.046818,NA,NA,NA,NA,NA,NA,NA,NA,3.999444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.884445,2.327222,0.022222,0.024444,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.380554,76285,NA,NA,NA,NA,NA,1.061111,0.025038,44.375816,0.052087,NA,NA,NA,NA,NA,NA,NA,NA,13.226666,2.545000,NA,NA,NA,NA,3.625556,5.226111,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.331112,76196,NA,NA,NA,NA,NA,0.871667,0.020592,36.378208,0.067059,NA,NA,NA,NA,NA,NA,NA,NA,10.522778,2.146667,NA,NA,NA,NA,3.435000,10.004444,
8,cube0,34.158333,61485,NA,NA,NA,NA,NA,NA,5.061111,0.148166,6.500897,NA,NA,NA,0.057451,NA,NA,NA,NA,NA,NA,NA,NA,1.096667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.124445,2.725000,0.024444,0.027778,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.777779,87800,NA,NA,NA,NA,NA,1.515000,0.031059,46.188683,0.063348,NA,NA,NA,NA,NA,NA,NA,NA,12.126667,2.568889,NA,NA,NA,NA,7.559444,7.767222,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.000000,84600,NA,NA,NA,NA,NA,1.078333,0.022943,43.556530,0.080365,NA,NA,NA,NA,NA,NA,NA,NA,9.272223,2.331667,NA,NA,NA,NA,7.422222,13.865000,
9,cube0,34.568333,62223,NA,NA,NA,NA,NA,NA,4.196667,0.121402,7.839975,NA,NA,NA,0.052957,NA,NA,NA,NA,NA,NA,NA,NA,0.374444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.318890,2.416667,0.023333,0.025556,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.287777,76118,NA,NA,NA,NA,NA,1.166667,0.027589,40.360859,0.066799,NA,NA,NA,NA,NA,NA,NA,NA,13.523889,2.513889,NA,NA,NA,NA,7.080000,10.096111,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.257221,76063,NA,NA,NA,NA,NA,0.851667,0.020154,37.232491,0.083656,NA,NA,NA,NA,NA,NA,NA,NA,8.113334,2.270000,NA,NA,NA,NA,8.095000,15.565556,
10,cube0,34.145000,61461,NA,NA,NA,NA,NA,NA,4.995555,0.146304,6.586207,NA,NA,NA,0.055703,NA,NA,NA,NA,NA,NA,NA,NA,1.493333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.804445,2.578333,0.025556,0.030000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.287777,76118,NA,NA,NA,NA,NA,1.178333,0.027865,39.961250,0.066119,NA,NA,NA,NA,NA,NA,NA,NA,10.305555,2.608333,NA,NA,NA,NA,7.465000,10.984445,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.244446,76040,NA,NA,NA,NA,NA,0.875000,0.020713,36.239624,0.081788,NA,NA,NA,NA,NA,NA,NA,NA,10.627778,2.305556,NA,NA,NA,NA,7.924445,15.476666,
11,cube0,34.188889,61540,NA,NA,NA,NA,NA,NA,4.878334,0.142688,6.744468,NA,NA,NA,0.058773,NA,NA,NA,NA,NA,NA,NA,NA,2.658333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.738333,2.717222,0.025556,0.027778,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.997776,88196,NA,NA,NA,NA,NA,1.543889,0.031509,45.324409,0.061669,NA,NA,NA,NA,NA,NA,NA,NA,12.753333,2.601667,NA,NA,NA,NA,6.335000,7.433333,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.103333,84786,NA,NA,NA,NA,NA,1.168889,0.024815,40.182144,0.075581,NA,NA,NA,NA,NA,NA,NA,NA,14.257222,2.207222,NA,NA,NA,NA,7.103333,11.705556,
12,cube0,33.764999,60777,NA,NA,NA,NA,NA,NA,4.727222,0.140004,6.960063,NA,NA,NA,0.061448,NA,NA,NA,NA,NA,NA,NA,NA,2.360000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.326111,2.969445,0.026667,0.030000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.267776,76082,NA,NA,NA,NA,NA,1.085556,0.025683,43.376564,0.065836,NA,NA,NA,NA,NA,NA,NA,NA,10.911667,2.513889,NA,NA,NA,NA,6.846667,7.370000,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.237221,76027,NA,NA,NA,NA,NA,0.763889,0.018086,41.510838,0.080889,NA,NA,NA,NA,NA,NA,NA,NA,10.122222,2.240000,NA,NA,NA,NA,6.531111,11.352777,
13,cube0,32.133335,57840,NA,NA,NA,NA,NA,NA,4.323333,0.134544,7.610277,NA,NA,NA,0.054167,NA,NA,NA,NA,NA,NA,NA,NA,1.705000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.481112,3.120556,0.030000,0.033333,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.244999,76041,NA,NA,NA,NA,NA,1.057778,0.025039,44.515656,0.065234,NA,NA,NA,NA,NA,NA,NA,NA,9.480556,2.514444,NA,NA,NA,NA,6.041667,6.828889,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.241665,76035,NA,NA,NA,NA,NA,0.763889,0.018084,41.510838,0.082051,NA,NA,NA,NA,NA,NA,NA,NA,10.317778,2.118333,NA,NA,NA,NA,6.358889,10.495556,
14,cube0,33.244446,59840,NA,NA,NA,NA,NA,NA,4.596111,0.138252,7.158609,NA,NA,NA,0.053485,NA,NA,NA,NA,NA,NA,NA,NA,3.278889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.097778,2.561667,0.023333,0.025556,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.983334,88170,NA,NA,NA,NA,NA,1.650000,0.033685,42.409607,0.060848,NA,NA,NA,NA,NA,NA,NA,NA,12.988334,2.506667,NA,NA,NA,NA,5.581666,9.163333,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.092777,84767,NA,NA,NA,NA,NA,1.180556,0.025069,39.785049,0.070367,NA,NA,NA,NA,NA,NA,NA,NA,15.618333,2.112778,NA,NA,NA,NA,6.178889,15.010555,
15,cube0,32.486668,58476,NA,NA,NA,NA,NA,NA,4.339445,0.133576,7.582022,NA,NA,NA,0.057120,NA,NA,NA,NA,NA,NA,NA,NA,4.055000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.986666,2.702778,0.024444,0.027778,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.259998,76068,NA,NA,NA,NA,NA,1.027778,0.024320,45.815029,0.064677,NA,NA,NA,NA,NA,NA,NA,NA,13.005555,2.481111,NA,NA,NA,NA,5.698333,8.047778,
