block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id14_time(us),
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.929443,88073,12.540000,0.236604,9.250556,0.174539,29.819860,1.136667,0.021447,41.321224,0.078524,10.061111,0.189832,0.747222,1.669444,0.000000,0.000000,0.000000,7.976111,12.461667,2.177222,11.933888,
9,cube0,4490.442383,8082796,2.356111,0.044455,2.013889,0.037998,4412.044434,83.246124,5.041111,0.095115,6.526689,12.343889,0.232904,39.556515,0.067079,65.926109,1.243889,20.071667,20.652779,3.650556,4338.407227,0.000000,0.000000,1.663889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.073891,79333,13.669444,0.257914,8.409445,0.158669,32.859142,1.102222,0.020797,42.720669,0.067128,8.113334,0.153082,0.902222,2.031111,0.000000,0.000000,0.000000,8.686666,12.685555,2.546111,10.586111,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.070557,79327,9.857223,0.185985,6.960556,0.131331,26.477421,0.726111,0.013700,43.670551,0.082959,7.032222,0.132683,0.681667,1.546111,0.000000,0.000000,0.000000,5.671667,11.380555,2.210000,11.809444,
10,cube0,4461.660156,8030988,2.381111,0.044927,1.940556,0.036614,4379.112305,82.624756,4.938889,0.093187,6.661775,11.872778,0.224015,41.126118,0.057420,65.007774,1.226562,20.047222,20.642221,3.080555,4317.528809,0.000000,0.000000,2.012222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.082222,79348,13.672222,0.257966,4.718889,0.089036,58.557671,1.122778,0.021184,41.938545,0.065060,8.020000,0.151321,0.905556,2.036667,0.000000,0.000000,0.000000,8.842778,12.977777,2.547222,7.700555,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.067780,79322,9.848333,0.185818,5.338333,0.100723,34.523426,0.817222,0.015419,38.801769,0.086806,7.160555,0.135105,0.688889,1.550000,0.000000,0.000000,0.000000,5.505556,12.390000,2.309444,11.842222,
11,cube0,4416.808105,7950255,2.381111,0.044927,1.942222,0.036646,4334.541016,81.783798,4.803889,0.090639,6.848985,11.728889,0.221300,41.630653,0.048234,64.754448,1.221782,19.967222,20.584999,3.526111,4282.678711,0.000000,0.000000,2.461667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.505001,90909,17.719444,0.334329,8.833333,0.166667,46.829006,1.499444,0.028291,46.667850,0.065111,9.675000,0.182547,1.000000,2.230000,0.000000,0.000000,0.000000,8.161111,13.326667,2.696111,8.250000,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.759998,87768,12.557222,0.236929,6.484445,0.122348,42.540314,1.076667,0.020314,43.623955,0.079020,9.773334,0.184403,0.759444,1.702222,0.000000,0.000000,0.000000,5.012222,14.245000,2.396667,11.999444,
12,cube0,4433.549805,7980390,2.381111,0.044927,1.978889,0.037338,4354.653809,82.163284,4.947222,0.093344,6.650553,12.118889,0.228658,40.290924,0.059865,65.212776,1.230430,19.959999,20.580000,2.608333,4299.113770,0.000000,0.000000,2.330555,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.080002,79344,13.669444,0.257914,7.081111,0.133606,39.023132,1.035556,0.019539,45.470924,0.065417,8.213333,0.154969,0.912778,2.064445,0.000000,0.000000,0.000000,9.255555,13.789444,2.641111,9.992778,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.065556,79318,9.848333,0.185818,5.616667,0.105975,32.812622,0.797778,0.015052,39.747498,0.082399,8.407222,0.158627,0.691111,1.580556,0.000000,0.000000,0.000000,5.725000,15.738889,2.333889,13.540000,
13,cube0,4428.459473,7971227,2.382222,0.044948,1.963889,0.037055,4348.656250,82.050117,5.015555,0.094633,6.559944,11.102222,0.209476,43.980499,0.055418,64.092224,1.209287,19.909445,20.526112,3.083333,4288.321777,0.000000,0.000000,2.885556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
